id,source_site,titre,organisation,pays,secteur,categorie,experience,date_pub,deadline,url,description,offre_valide,jours_restants,urgence
9d5dba11084ade49a5712d97d9124179,AfriqueEmplois,Special promo cv pro,NA,Burkina Faso,01 May 2026,NA,NA,NA,NA,https://afriqueemplois.com/post/29912,NA,FALSE,NA,🟢 Ouvert
c8b570461e50ab5fe6e4cb364e8d2db3,AfriqueEmplois,Alliance-alima-keoogo-sos medecin bf recrute 08 agents santé de la reproduction,NA,Burkina Faso,23 Apr 2026,NA,NA,NA,NA,https://afriqueemplois.com/post/31482,NA,FALSE,NA,🟢 Ouvert
70e009249d79422057d6d5f868d947ed,AfriqueEmplois,Sonatlg sarl recrute un responsable planification maintenance engins lourds,NA,Burkina Faso,30 Apr 2026,NA,NA,NA,NA,https://afriqueemplois.com/post/31481,NA,FALSE,NA,🟢 Ouvert
6e37e5e8665066a0187f568d02e5770b,AfriqueEmplois,Sonatlg btp sarl recrute 03 mécaniciens spécialistes des engins lourds de marque chinoise,NA,Burkina Faso,30 Apr 2026,NA,NA,NA,NA,https://afriqueemplois.com/post/31480,NA,FALSE,NA,🟢 Ouvert
1b4384726f1b6137797ee50973eb7bf0,AfriqueEmplois,Sonatlg sarl recrute 02 pompistes hydrauliciens,NA,Burkina Faso,30 Apr 2026,NA,NA,NA,NA,https://afriqueemplois.com/post/31479,NA,FALSE,NA,🟢 Ouvert
079a42292fac6d99696d851468c2d0d8,AfriqueEmplois,Une institution de microfinance recrute un(e) agent(e) de crédit et de recouvrement,NA,Burkina Faso,27 Apr 2026,NA,NA,NA,NA,https://afriqueemplois.com/post/31478,NA,FALSE,NA,🟢 Ouvert
0f606948d1b48c46d28dbd04bd0b3b01,AfriqueEmplois,Sonatlg sarl recrute un logisticien engins lourds,NA,Burkina Faso,30 Apr 2026,NA,NA,NA,NA,https://afriqueemplois.com/post/31477,NA,FALSE,NA,🟢 Ouvert
83a7550fcbf91b027bab50d50a9ee9b9,AfriqueEmplois,Sonatlg btp sarl recrute 02 électromécaniciens engins lourds,NA,Burkina Faso,30 Apr 2026,NA,NA,NA,NA,https://afriqueemplois.com/post/31476,NA,FALSE,NA,🟢 Ouvert
50891b9a6f7c41aa733490c24cd1fa98,AfriqueEmplois,Cabinet d’audit rim ilboudo (cari) recrute un contrôleur de gestion,NA,Burkina Faso,24 Apr 2026,NA,NA,NA,NA,https://afriqueemplois.com/post/31474,NA,FALSE,NA,🟢 Ouvert
e486a2abc4bd3d8ead0e250ca9be3313,AfriqueEmplois,Zidoma global logistics recrute 02 commerciaux chargés de vente,NA,Burkina Faso,25 Apr 2026,NA,NA,NA,NA,https://afriqueemplois.com/post/31473,NA,FALSE,NA,🟢 Ouvert
b0e3140b3aa07b85f9805c282263c2d0,AfriqueEmplois,Orange recrute un contrôleur de gestion orange money,NA,Burkina Faso,Non spécifié,NA,NA,NA,NA,https://afriqueemplois.com/post/31472,NA,FALSE,NA,🟢 Ouvert
6016a1182c4f81c151a5f6495e0d7c53,AfriqueEmplois,Acep burkina sa recrute un chargé de produit et innovation,NA,Burkina Faso,17 Apr 2026,NA,NA,NA,NA,https://afriqueemplois.com/post/31470,NA,FALSE,NA,🟢 Ouvert
9d6688e2a1c9e960096bd8ea76c5fcfc,AfriqueEmplois,Care international recrute des fournisseurs de semences et engrais,NA,Burkina Faso,05 May 2026,NA,NA,NA,NA,https://afriqueemplois.com/post/31460,NA,FALSE,NA,🟢 Ouvert
0dc601eb1356fb4f38b2db61b38e8325,AfriqueEmplois,Un cabinet de fiscalite recrute un juriste fiscaliste,NA,Burkina Faso,22 Apr 2026,NA,NA,NA,NA,https://afriqueemplois.com/post/31458,NA,FALSE,NA,🟢 Ouvert
2a3b02985c7d1c2087debe9edb8898f5,AfriqueEmplois,Solidarites international recrute un assistant responsable sera sahel,NA,Burkina Faso,28 Apr 2026,NA,NA,NA,NA,https://afriqueemplois.com/post/31456,NA,FALSE,NA,🟢 Ouvert
5c898efc90f12815562acd32c294097b,AfriqueEmplois,Observatoire national de l'emploi et de la formation recrute un(e) secretaire,NA,Burkina Faso,22 Apr 2026,NA,NA,NA,NA,https://afriqueemplois.com/post/31455,NA,FALSE,NA,🟢 Ouvert
